text,label
last last last one,3
X,2
KEKW,1
LUL,1
x,2
Bites the Dust no. 29,3
Last one,3
OMEGALUL,1
cdawgClap cdawgClap cdawgClap,1
guys last one modCheck guys last one modCheck guys last one modCheck guys last one modCheck,4
nagWeird nagWeird,2
LAST 50,8
COPIUM,7
Ayo?,9
"""the last one"" spoiler: it's a lie",2
my points,6
?????????????????????????????? bruu,4
Kappa,8
ffs connor,9
cdawgYare cdawgYare cdawgYare cdawgYare cdawgYare cdawgYare cdawgYare 🤌🤌🤌🤌,9
You can only break so many promises before you break my heart,9
ironmouseMeltdown ironmouseMeltdown ironmouseMeltdown ironmouseMeltdown ironmouseMeltdown ironmouseMeltdown ironmouseMeltdown ironmouseMeltdown ironmouseMeltdown ironmouseMeltdown ironmouseMeltdown ironmouseMeltdown ironmouseMeltdown ironmouseMeltdown ironmouseMeltdown ironmouseMeltdown ironmouseMeltdown ironmouseMeltdown ironmouseMeltdown ironmouseMeltdown ironmouseMeltdown ironmouseMeltdown ironmouseMeltdown ironmouseMeltdown ironmouseMeltdown ironmouseMeltdown,7
Press X for doubt,2
COPIUM Clap,7
promise????????,4
last one,3
don't believe his lies,2
no,7
I remember connor saying he will only stream for 30 minutes...,9
last one I P R O M I S E,8
ironmousePop ironmousePop ironmousePop ironmousePop ironmousePop,1
ironmouseLUL ironmouseLUL ironmouseLUL ironmouseLUL,7
"COPIUM actual last one, seriously, this is the last one. COPIUM",7
lastone_final_final2_FINAL,3
Connor STAHP,9
ironmouseLetsgo ironmouseLetsgo ironmouseLetsgo ironmouseLetsgo ironmouseLetsgo ironmouseLetsgo ironmouseLetsgo ironmouseLetsgo,1
cdawgX cdawgX cdawgX cdawgX cdawgX cdawgX cdawgX cdawgX cdawgX cdawgX,2
How many COPIUM this man inhaled?,4
last one but its the 60th time,8
your promises aren't worth anything right now,2
WRITES IN DEATH NOTE: FALLS,8
XXXX,2
ironmouseKEK ironmouseKEK ironmouseKEK ironmouseKEK ironmouseKEK ironmouseKEK,1
WOOOOOOO SUPER Kappa,8
promises not fulfilled,3
ironmouseKEK ironmouseKEK ironmouseKEK ironmouseKEK ironmouseKEK,1
JUST STOP PRETENDING BRO,3
StinkyGlitch StinkyGlitch StinkyGlitch StinkyGlitch StinkyGlitch StinkyGlitch,1
BRUUUUHHHHHHHHHHHHHHHHHHHHHH pls,7
you promised ironmouseSTARE,10
YOOOO TRUST LEVEL IS GOING DOWN SOOOOOOO FAAAAAAAASSST NotLikeThis NotLikeThis NotLikeThis NotLikeThis NotLikeThis NotLikeThis NotLikeThis NotLikeThis NotLikeThis,2
ironmouseSTARE ironmouseSTARE ironmouseSTARE ironmouseSTARE,10
ironmousePop,1
nagX,2
ironmouseSUFFER ironmouseSUFFER ironmouseSUFFER ironmouseSUFFER ironmouseSUFFER ironmouseSUFFER,2
its day 17!!,0
I just left for 10 minutes and he's still sayinf it's the last one LUL,1
X to doubt KEKW JESUS SAYS NO,2
big X,2
sure,6
!uptime,6
turns into troll scream,3
